month,tool,seats,pct_of_employees,prev_seats,delta_vs_prior
2026-03,claude,45,24.06,,
2026-03,cursor,18,9.63,,
2026-03,chatgpt,79,42.25,,
2026-03,copilot,15,8.02,,
2026-03,gemini,17,9.09,,
2026-04,claude,71,37.97,45,26
2026-04,cursor,19,10.16,18,1
2026-04,chatgpt,87,46.52,79,8
2026-04,copilot,17,9.09,15,2
2026-04,gemini,17,9.09,17,0
2026-04-final,claude,81,35.68,71,10
2026-04-final,cursor,20,8.81,19,1
2026-04-final,chatgpt,90,39.65,87,3
2026-04-final,copilot,15,6.61,17,-2
2026-04-final,gemini,20,8.81,17,3
2026-05,claude,86,44.79,71,15
2026-05,cursor,19,9.9,19,0
2026-05,chatgpt,82,42.71,87,-5
2026-05,copilot,14,7.29,17,-3
2026-05,gemini,17,8.85,17,0
